id,number,title,user,state,created_at,closed_at,comments,open_duration_days
3500968913,270674,GitHub Copilot Race Condition: Initial response ignores copilot.prompt context,jonask-028,open,2025-10-10T00:22:11+00:00,,0,
3500958000,270673,fix this code,zazaazza99099zaaz-eng,open,2025-10-10T00:14:43+00:00,,1,
3500956058,270672,Remote agent picks incorrect repo from workspace with multiple repos,dineshc-msft,open,2025-10-10T00:13:20+00:00,,1,
3500953460,270671,Infinite spinner when fetching issues in GHPR,pierceboggan,open,2025-10-10T00:11:43+00:00,,0,
3500947637,270670,No ability to clear all chat history from Sessions,pierceboggan,open,2025-10-10T00:08:08+00:00,,0,
3500946460,270669,No ability to clear local chat when started from secondary side bar in Sessions,pierceboggan,open,2025-10-10T00:07:16+00:00,,0,
3500928900,270668,Insert in Terminal fails if the terminal command contains a comment,pierceboggan,open,2025-10-09T23:54:36+00:00,,0,
3500923281,270667,No way in the UI to delete a Git worktree,pierceboggan,open,2025-10-09T23:49:53+00:00,,1,
3500892506,270666,Focus keeps moving to chat any time the output is updated,connor4312,open,2025-10-09T23:26:47+00:00,,0,
3500886807,270665,Refactor noValidationMessage to be prompt,TylerLeonhardt,open,2025-10-09T23:23:55+00:00,,0,
3500847389,270664,Don't require agent mode to set default model experiment,roblourens,open,2025-10-09T22:57:13+00:00,,0,
3500836578,270663,Enable model-specific tool descriptions,roblourens,open,2025-10-09T22:50:21+00:00,,0,
3500830190,270662,Enable keyboard shortcuts for custom chat modes,roblourens,open,2025-10-09T22:46:42+00:00,,0,
3500829318,270661,Github copilot chat,fbrevy2266,open,2025-10-09T22:46:05+00:00,,0,
3500795854,270659,testing path,NoTolerated,open,2025-10-09T22:27:38+00:00,,1,
3500752725,270655,Remote MCP server hosted on an internally with a Self-sign certificate no can be started in 105,carchi8py,open,2025-10-09T22:05:34+00:00,,1,
3500734478,270654,Keyboard shortcut strings are sometimes formatted strangely in Copilot responses,jruales,open,2025-10-09T21:56:35+00:00,,1,
3500733698,270653,Explore settings UI for terminal auto approve,Tyriar,open,2025-10-09T21:56:08+00:00,,0,
3500647040,270652,Charged on fail request,akhil41,closed,2025-10-09T21:14:27+00:00,2025-10-09T21:16:05+00:00,2,0.0
3500609354,270650,Copilot Agent prompts fail when chat.useNestedAgentsMdFiles is enabled with SSH FS folders,Fail-Safe,open,2025-10-09T20:59:12+00:00,,0,
3500573332,270649,De nuevo,davidmorocrespo,open,2025-10-09T20:42:34+00:00,,3,
3500562284,270648,Terminal tool does not wait for command output,joshspicer,open,2025-10-09T20:37:26+00:00,,2,
3500550924,270647,Documentation/settings: Differentiation between next edit suggestion & inline completion is indistinct,jbell-sr,open,2025-10-09T20:33:24+00:00,,1,
3500509861,270646,No response,Harshavardhanmurugan,open,2025-10-09T20:17:21+00:00,,1,
3500495273,270645,port ,Paulpatel11,closed,2025-10-09T20:11:56+00:00,2025-10-09T20:32:37+00:00,2,0.0
3500493780,270644,tikTokenizerworker module fails,nathanwelsh8,open,2025-10-09T20:11:19+00:00,,1,
3500453361,270641,"chat.tools.terminal.autoApprove object format with ""approve"": true doesn't work",ethompsonmail-svg,open,2025-10-09T19:57:34+00:00,,1,
3500445995,270640,Why is this trial so short?,boltVRwastaken,closed,2025-10-09T19:55:03+00:00,2025-10-09T19:56:45+00:00,2,0.0
3500396295,270639,issues during help,apenasojunior,closed,2025-10-09T19:35:52+00:00,2025-10-09T19:37:20+00:00,2,0.0
3500388098,270638,AI还能私自改代码,liufang0,open,2025-10-09T19:32:25+00:00,,1,
3500387606,270637,AI还能私自改代码,laogui008851,open,2025-10-09T19:32:11+00:00,,1,
3500387603,270636,AI还能私自改代码,laogui008851,closed,2025-10-09T19:32:11+00:00,2025-10-09T20:32:23+00:00,2,0.0
